game,index,file,music_no,my_title,ref_title,title_same
th19,23,th19_90.wav,,戦闘前会話1,曲名不明1(会話シーンBGM1),0
th19,24,th19_91.wav,,戦闘前会話2,曲名不明2(会話シーンBGM2),0
th20,1,th20_01.wav,1,錦の上の巫女,錦の上の巫女,1
th20,2,th20_02.wav,2,愛おしき塵の住処,愛おしき塵の住処,1
th20,3,th20_03.wav,3,例え世界から忘れられても,例え世界から忘れられても,1
th20,4,th20_04.wav,4,セイクリッドフォレスト,セイクリッドフォレスト,1
th20,5,th20_05.wav,5,森にはお化けがいるよ,森にはお化けがいるよ,1
th20,6,th20_06.wav,6,プレステ・ジョアンの黄金境,プレステ・ジョアンの黄金境,1
th20,7,th20_07.wav,7,どうせなら命を賭けて謎を解け,どうせなら命を賭けて謎を解け,1
th20,8,th20_08.wav,8,フォーカラーラビリンス,フォーカラーラビリンス,1
th20,9,th20_09.wav,9,鹿狩りのレミニセンス,鹿狩りのレミニセンス,1
th20,10,th20_10.wav,10,記憶の深海に沈む少女,記憶の深海に沈む少女,1
th20,11,th20_11.wav,11,綿月のスペルカード　～ 神海戦,綿月のスペルカード　〜 神海戦,0
th20,12,th20_13.wav,12,ピラミッドの神域,ピラミッドの神域,1
th20,13,th20_12.wav,13,最後の一人は慣れてるから　～ Stone Goddess,最後の一人は慣れてるから　〜 Stone Goddess,0
th20,14,th20_17.wav,14,ファンタスティックドリフト,ファンタスティックドルフト,0
th20,15,th20_18.wav,15,二枚貝の上のハルシネーション,二枚貝の上のハルシネーション,1
th20,16,th20_15.wav,16,不変の日常,不変の日常,1
th20,17,th20_14.wav,17,愛おしき日常,愛おしき日常,1
th20,18,th20_16.wav,18,生と死のある世界へ,生と死のある世界へ,1
th20,19,th128_08.wav,,プレイヤーズスコア,プレイヤーズスコア,1
